Catalogue Reference,"29.4919194, -98.4271969"
HL/PO/JO/10/1/80/5,"50.187582, -5.370383"
HL/PO/JO/10/1/80/6,"50.221649, -5.38457"
HL/PO/JO/10/1/80/7,"50.248244, -5.266491"
HL/PO/JO/10/1/80/8,"50.183852, -5.4404009"
HL/PO/JO/10/1/80/9,"39.5585686, -111.8618734"
HL/PO/JO/10/1/80/10,"50.143902, -5.493699"
HL/PO/JO/10/1/80/11,"50.133524, -5.565727"
HL/PO/JO/10/1/80/12,"50.125077, -5.463955"
HL/PO/JO/10/1/80/13,"50.1618319, -5.638459"
HL/PO/JO/10/1/80/14,"39.2940417, -9.1628266"
HL/PO/JO/10/1/80/15,"50.118798, -5.537592"
HL/PO/JO/10/1/80/17,"50.194003, -5.416462"
HL/PO/JO/10/1/80/18,"50.233022, -5.226666"
HL/PO/JO/10/1/80/19,"50.167679, -5.427406"
HL/PO/JO/10/1/80/20,"50.130287, -5.418129"
HL/PO/JO/10/1/80/21,"50.2152089, -5.4777498"
HL/PO/JO/10/1/80/22,"50.124487, -5.679195"
HL/PO/JO/10/1/80/23,"50.107815, -5.611154"
HL/PO/JO/10/1/80/24,"50.071338, -5.69498"
HL/PO/JO/10/1/80/25,"50.192233, -5.522443"
HL/PO/JO/10/1/80/26,"50.190122, -5.56496"
HL/PO/JO/10/1/80/27,"50.602393, -4.668287"
HL/PO/JO/10/1/80/28,"50.606127, -4.512319"
HL/PO/JO/10/1/80/29,"50.656826, -4.617132"
HL/PO/JO/10/1/80/30,"50.6858337, -4.6973747"
HL/PO/JO/10/1/80/31,"50.3456256, -4.6165422"
HL/PO/JO/10/1/80/32,"50.683586, -4.650009"
HL/PO/JO/10/1/80/34,"50.5811179, -4.713354"
HL/PO/JO/10/1/80/35,"51.4211991, 0.7976003"
HL/PO/JO/10/1/80/36,"50.685594, -4.597825"
HL/PO/JO/10/1/80/37,"50.767628, -4.551833"
HL/PO/JO/10/1/80/38,"50.63288, -4.540336"
HL/PO/JO/10/1/80/39,"33.9909208, -81.1218409"
HL/PO/JO/10/1/80/40,"50.698636, -4.655191"
HL/PO/JO/10/1/80/41,"50.66301, -4.75066"
HL/PO/JO/10/1/80/42,"50.6622709, -4.539067"
HL/PO/JO/10/1/80/43,"50.677076, -4.715085"
HL/PO/JO/10/1/81/29,"50.750417, -4.39625"
HL/PO/JO/10/1/81/30,"50.840987, -4.527221"
HL/PO/JO/10/1/81/31,"51.9082872, -1.1386778"
HL/PO/JO/10/1/81/32,"50.8306929, -4.514386"
HL/PO/JO/10/1/81/33,"50.747662, -4.496106"
HL/PO/JO/10/1/81/34,"50.759108, -4.46022"
HL/PO/JO/10/1/81/35,"50.527892, -4.682539"
HL/PO/JO/10/1/81/36,"50.46863, -4.715114"
HL/PO/JO/10/1/81/37,"37.2624652, -77.4327305"
HL/PO/JO/10/1/81/38,"50.5084147, -4.7903139"
HL/PO/JO/10/1/81/39,"50.5066599, -4.713904"
HL/PO/JO/10/1/81/41,"50.571791, -4.828743"
HL/PO/JO/10/1/81/42,"50.560939, -4.790939"
HL/PO/JO/10/1/81/43,"50.525707, -4.759388"
HL/PO/JO/10/1/81/44,"50.5950599, -4.740223"
HL/PO/JO/10/1/81/45,"50.557249, -4.729507"
HL/PO/JO/10/1/81/47,"50.416047, -4.6067729"
HL/PO/JO/10/1/81/48,"51.311044, 1.108303"
HL/PO/JO/10/1/81/49,"50.489797, -4.644602"
HL/PO/JO/10/1/81/50,"50.402063, -4.485152"
HL/PO/JO/10/1/81/51,"50.354047, -4.454369"
HL/PO/JO/10/1/81/52,"50.385899, -4.561301"
HL/PO/JO/10/1/81/53,"50.335894, -4.569203"
HL/PO/JO/10/1/81/54,"50.33499, -4.636525"
HL/PO/JO/10/1/81/55,"50.45552, -4.464719"
HL/PO/JO/10/1/81/56,"50.384396, -4.44827"
HL/PO/JO/10/1/81/57,"50.36553, -4.525603"
HL/PO/JO/10/1/81/58,"50.487255, -4.473743"
HL/PO/JO/10/1/81/59,"50.425242, -4.475019"
HL/PO/JO/10/1/81/60,"50.443799, -4.535481"
HL/PO/JO/10/1/81/61,"50.364502, -4.616671"
HL/PO/JO/10/1/81/62,"50.385566, -4.652829"
HL/PO/JO/10/1/81/63,"50.338892, -4.488479"
HL/PO/JO/10/1/81/64,"50.493561, -4.595518"
HL/PO/JO/10/1/82/1,"54.711375, -3.4877389"
HL/PO/JO/10/1/82/3,"53.443255, -2.998895"
HL/PO/JO/10/1/82/4,"54.659016, -3.417476"
HL/PO/JO/10/1/82/6,"54.508427, -3.520551"
HL/PO/JO/10/1/82/7,"54.663261, -3.367985"
HL/PO/JO/10/1/82/8,"54.309546, -3.364583"
HL/PO/JO/10/1/82/9,"29.314348, 115.756883"
HL/PO/JO/10/1/82/10,"54.599148, -3.536008"
HL/PO/JO/10/1/82/11,"54.480973, -3.528926"
HL/PO/JO/10/1/82/12,"55.495952, -1.635481"
HL/PO/JO/10/1/82/13,"-26.409722, 27.836944"
HL/PO/JO/10/1/82/14,"54.3896469, -3.324212"
HL/PO/JO/10/1/82/15,"55.0072676, -1.6197315"
HL/PO/JO/10/1/82/16,"54.465013, -3.493017"
