Catalogue Reference,Title,Date,,Longitude,Latitude,Place co-ordinates,Landing Page URL,External resource URL
HL/PO/JO/10/1/78/46,Protestation Return - Buckinghamshire - Cotteslow Hundred - Mentmore.,1642,Protestation Returns,,,,,
HL/PO/JO/10/1/78/47,Protestation Return - Buckinghamshire - Cotteslow Hundred - Pitstone cum Nettleden.,1642,Protestation Returns,,,,,
HL/PO/JO/10/1/78/48,Protestation Return - Buckinghamshire - Cotteslow Hundred - Slapton.,1642,Protestation Returns,,,,,
HL/PO/JO/10/1/78/49,Protestation Return - Buckinghamshire - Cotteslow Hundred - Soulbury.,1642,Protestation Returns,,,,,
HL/PO/JO/10/1/78/50,Protestation Return - Buckinghamshire - Cotteslow Hundred - Stewkley.,1642,Protestation Returns,,,,,
HL/PO/JO/10/1/78/51,Protestation Return - Buckinghamshire - Cotteslow Hundred - Swanbourne.,1642,Protestation Returns,,,,,
HL/PO/JO/10/1/78/52,Protestation Return - Buckinghamshire - Cotteslow Hundred - Whaddon cum Nash.,1642,Protestation Returns,,,,,
HL/PO/JO/10/1/78/53,Protestation Return - Buckinghamshire - Cotteslow Hundred - Whitchurch.,1642,Protestation Returns,,,,,
HL/PO/JO/10/1/78/54,Protestation Return - Buckinghamshire - Cotteslow Hundred - Wing.,1642,Protestation Returns,,,,,
HL/PO/JO/10/1/78/55,Protestation Return - Buckinghamshire - Cotteslow Hundred - Wingrave.,1642,Protestation Returns,,,,,
HL/PO/JO/10/1/78/56,Protestation Return - Buckinghamshire - Cotteslow Hundred - Winslow.,1642,Protestation Returns,,,,,
HL/PO/JO/10/1/78/57,"Protestation Return - Cambridge - Letter of Thomas Bainbrigg, D.D., deputy Vice - Chancellor of the University, Master of Christ's College, forwarding certificates from the under - mentioned Colleges viz.",1642,Protestation Returns,,,,,
HL/PO/JO/10/1/78/58,Protestation Return - Cambridge - Christ's College.,1642,Protestation Returns,,,,,
HL/PO/JO/10/1/78/59,Protestation Return - Cambridge - Clare Hall.,1642,Protestation Returns,,,,,
HL/PO/JO/10/1/78/60,Protestation Return - Cambridge - Corpus Christ College.,1642,Protestation Returns,,,,,
HL/PO/JO/10/1/78/61,Protestation Return - Cambridge - Emanuel College.,1642,Protestation Returns,,,,,
HL/PO/JO/10/1/78/62,Protestation Return - Cambridge - Gonville and Caius College.,1642,Protestation Returns,,,,,
HL/PO/JO/10/1/78/63,Protestation Return - Cambridge - Jesus College.,1642,Protestation Returns,,,,,
HL/PO/JO/10/1/78/64,Protestation Return - Cambridge - King's College.,1642,Protestation Returns,,,,,
HL/PO/JO/10/1/78/65,Protestation Return - Cambridge - Magdalen College.,1642,Protestation Returns,,,,,
HL/PO/JO/10/1/78/66,Protestation Return - Cambridge - Pembroke Hall.,1642,Protestation Returns,,,,,
HL/PO/JO/10/1/78/67,Protestation Return - Cambridge - Queen's College.,1642,Protestation Returns,,,,,
HL/PO/JO/10/1/78/68,Protestation Return - Cambridge - St John's College.,1642,Protestation Returns,,,,,
HL/PO/JO/10/1/78/69,Protestation Return - Cambridge - St Katherine's Hall.,1642,Protestation Returns,,,,,
HL/PO/JO/10/1/78/70,Protestation Return - Cambridge - St Peter's College.,1642,Protestation Returns,,,,,
HL/PO/JO/10/1/78/71,Protestation Return - Cambridge - Sidney Sussex College.,1642,Protestation Returns,,,,,
HL/PO/JO/10/1/78/72,Protestation Return - Cambridge - Trinity College.,1642,Protestation Returns,,,,,
