HL/PO/JO/10/1/82/10,"54.59766, -3.53876"
HL/PO/JO/10/1/82/11,"54.48292, -3.52831"
HL/PO/JO/10/1/82/12,"55.49718, -1.63605"
HL/PO/JO/10/1/82/13,
HL/PO/JO/10/1/82/14,
HL/PO/JO/10/1/82/15,
HL/PO/JO/10/1/82/16,"54.46309, -3.49215"
HL/PO/JO/10/1/82/17,
HL/PO/JO/10/1/82/18,"54.24868, -0.45905"
HL/PO/JO/10/1/82/19,"54.57538, -3.41094"
HL/PO/JO/10/1/82/20,
HL/PO/JO/10/1/82/21,"54.57649, -3.32936"
HL/PO/JO/10/1/82/22,"54.21144, -3.27508"
HL/PO/JO/10/1/82/23,
HL/PO/JO/10/1/82/24,"54.358662, -3.3816"
HL/PO/JO/10/1/82/25,"54.43418, -3.46727"
HL/PO/JO/10/1/82/26,"54.490036, -3.590325"
HL/PO/JO/10/1/82/27,
HL/PO/JO/10/1/81/29,"50.74986, -4.3945"
HL/PO/JO/10/1/81/30,"50.86412, -3.62692"
HL/PO/JO/10/1/81/31,
HL/PO/JO/10/1/81/32,"52.735512, 1.28039"
HL/PO/JO/10/1/81/33,"50.74751, -4.50023"
HL/PO/JO/10/1/81/34,"50.75713, -4.45842"
HL/PO/JO/10/1/81/35,"50.52801, -4.68207"
HL/PO/JO/10/1/81/36,"50.47125, -4.71741"
HL/PO/JO/10/1/81/37,"50.55949, -4.69065"
HL/PO/JO/10/1/81/38,"50.51272, -4.81734"
HL/PO/JO/10/1/81/39,
HL/PO/JO/10/1/81/40,
HL/PO/JO/10/1/81/41,"50.57302, -4.82983"
HL/PO/JO/10/1/81/42,"50.55838, -4.79218"
HL/PO/JO/10/1/81/43,"50.52576, -4.75893"
HL/PO/JO/10/1/81/44,"50.59321, -4.73605"
HL/PO/JO/10/1/81/45,"50.55526, -4.7271"
HL/PO/JO/10/1/81/46,
HL/PO/JO/10/1/81/47,"50.4162, -4.60682"
HL/PO/JO/10/1/81/48,"51.81565, -2.43722"
HL/PO/JO/10/1/81/49,"50.48879, -4.64791"
HL/PO/JO/10/1/81/50,"50.3963, -4.4846"
HL/PO/JO/10/1/81/51,
HL/PO/JO/10/1/81/52,"50.38414, -4.55981"
HL/PO/JO/10/1/81/53,"51.916672, -2.93333"
HL/PO/JO/10/1/81/54,"50.33461, -4.644405"
